x,y,z
669382.625,6221395.5,430.244
669381.125,6220560.5,413.819
669382.4375,6221021.5,393.904
669379.1875,6221251.5,390.911
669379.9375,6221237,390.945
669385.5,6220909,390.823
669387.75,6220612,389.884
669387.875,6220535,424.876
669388.6875,6221421,431.521
669389.375,6221333,391.3
669389.875,6221353.5,403.532
669391.75,6220889,389.842
669393.9375,6221074.5,393.833
669388.9375,6221047.5,394.28
669397.1875,6220941,391.841
669396.625,6220586.5,398.184
669397.8125,6220967.5,395.055
669397.75,6220997.5,394.262
669400.25,6220919,391.21
669401.375,6221377.5,428.055
669401.9375,6221098.5,392.1
669404.8125,6220561,414.2
669406.0625,6221403,431.04
669403,6221259,390.951
669403.6875,6221244.5,391.046
669407.9375,6221426.5,434.9
669412.75,6220612.5,389.934
669412.875,6220536,424.9
669412.0625,6221027.5,394.123
669413.625,6221339.5,391.3
669415,6220929.5,391.376
669415,6221058,393.838
669416.75,6220889,389.628
669421,6220981.5,394.681
669421.8125,6220954.5,391.823
669423.0625,6221004,394.193
669419.25,6221362,400.324
669415.625,6221082,393.865
669421.0625,6220587,398.794
669424.1875,6220897,389.571
669425,6221385.5,425.205
669429.125,6220561.5,417.659
669425.5,6221106,392.1
669430.75,6221410.5,432.846
669427.4375,6221264.5,390.968
669427.5,6221252.5,391.056
669430.3125,6220938,391.36
669431.625,6221344.5,391.3
669432.0625,6221433,434.9
669439.3125,6221019.5,393.68
669437.75,6220613,390.201
669437.75,6220538.5,424.53
669437.875,6220908.5,389.326
669445.125,6220994.5,394.017
669437.9375,6221044,394.075
669440.25,6220971.5,392.248
669441.75,6220889,388.382
669442.75,6221115.5,392.1
669441.75,6221073,393.38
669445.375,6220586,398.829
669452.75,6220561,418.319
669456.75,6221418.5,434.623
669449.375,6221369,402.338
669449.5625,6221349.5,391.3
669449.875,6220920,389.27
669451.0625,6220952,390.883
669451.5,6221271,390.917
669451.6875,6221258.5,390.993
669453.3125,6221334.5,387.495
669458.625,6221013,394.318
669456.25,6221439.5,434.9
669456.6875,6221396.5,431.965
669457.0625,6221320,386.9
669456.0625,6221097.5,393.888
669459.375,6221353.5,391.3
669459.0625,6221033,393.865
669460.75,6221305,386.9
669460.8125,6221122.5,392.1
669460.1875,6221053.5,393.605
669462.25,6220974.5,391.015
669462.3125,6221142.5,391.129
669462.4375,6220936.5,389.019
