x,y,z
656054.5625,6221846.5,398.4
656057.375,6221755,402.499
656056.8125,6222255,395.356
656057.4375,6222336.5,457.537
656058.5,6222293,406.836
656055.5625,6222315.5,436.139
656058.375,6222277,398
656058.4375,6221830,398.4
656065.3125,6221783.5,401.941
656057.125,6221863.5,397.218
656061.8125,6221815,398.2
656063.5625,6221947.5,397.152
656065.6875,6221769.5,402.328
656063.6875,6222000,395.937
656063.8125,6221929,398.4
656066.1875,6221973.5,396.597
656064.5,6221799,399.717
656069,6221742.5,402.524
656067.375,6221723.5,402.36
656068.9375,6221890.5,399.6
656069.875,6221960.5,396.888
656069,6221909.5,399.6
656068.4375,6222245.5,394.776
656069.25,6222334.5,456.422
656069.3125,6222266.5,397.429
656069.8125,6221840.5,397.8
656073.5,6221856.5,397.213
656070.5,6222323.5,446.676
656075.1875,6222303.5,419.765
656074.75,6222280,404.41
656073.1875,6221873,398.197
656077.375,6221778,402.07
656074.125,6221826.5,397.8
656075.0625,6221760,402.011
656077.4375,6221734.5,402.474
656076.6875,6221810.5,398.256
656080.375,6221951.5,397.014
656076.75,6221921.5,398.4
656077.3125,6221985.5,396.283
656080.4375,6221934,397.386
656078.625,6221999,395.906
656078.6875,6221794.5,399.855
656079.25,6221722,402.524
656080.9375,6221967.5,396.66
656079.375,6221900,399.6
656080.375,6221746,402.205
656081.0625,6222332,454.15
656081.875,6221885.5,399.6
656081.4375,6222239,394
656081.75,6222258.5,397.363
656084.625,6222319,433.382
656083,6221870.5,398.248
656085.125,6221916.5,398.4
656088.3125,6221858.5,397.21
656090.25,6222288.5,409.502
656086.625,6221771,402.048
656089.5625,6221822.5,398.275
656088.375,6221842.5,397.607
656094.625,6221957.5,396.744
656089.1875,6221756.5,402.253
656091.1875,6221738,402.266
656091.375,6221806,398.25
656091.125,6221720,402.635
656092.25,6222306,422.22
656092.9375,6221943.5,396.921
656092.875,6222330,443.487
656092.875,6221789.5,399.9
656091.875,6221898,399.6
656089.9375,6222271.5,404.692
656093.5,6221997,395.807
656095.0625,6221882,399.6
656095.875,6222318.5,431.77
656095.875,6222253.5,397.482
656096.1875,6222236.5,394.529
656097.375,6221975,396.417
656097.5625,6221867,398.537
656100.5,6221928.5,396.954
656102.3125,6221832,397.687
656099.1875,6221855.5,397.207
656098.625,6221770.5,401.676
656102.4375,6221729,402.566
656102.75,6221910,398.4
656102.4375,6222296,416.92
656104.5625,6221817.5,397.74
656103.125,6221754,402.472
656107.6875,6221961,396.599
656104.6875,6222328,438.75
656105.9375,6221801,398.25
656105.0625,6222310.5,425.349
656105.9375,6221717.5,402.187
656108.5625,6221946,396.73
656107.125,6221785,399.9
656106.9375,6222275.5,407.059
656106.9375,6221893,399.6
656109.125,6221877.5,399.6
656108.375,6221995,395.789
656111.0625,6221985.5,396.094
656106.75,6221740.5,402.712
656110.6875,6222251.5,397.755
656111.125,6222234.5,394.914
656111.3125,6221863,398.624
656110.25,6221846.5,397.204
656116.5,6221932.5,396.699
656112.75,6221768,401.411
656117.875,6222298.5,417.922
656119.1875,6221812.5,398.35
656116.375,6221970.5,396.41
656116.5,6222325.5,435.341
656117.375,6221919,396.73
656117.8125,6221716,402.888
656120.4375,6221796.5,398.35
